ID,date,warehouse_ID,Latitude,Longitude,Product_Type,year,month,is_weekend,is_warehouse_closed,daily_dispatch_count
0x2710,01-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,5.5
0x33e6,01-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,6.1
0x2711,02-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,4.8
0x33e7,02-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,6.7
0x2712,03-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.8
0x33e8,03-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,,No,8.1
0x2713,04-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,6.6
0x33e9,04-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7
0x2714,05-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,4.9
0x33ea,05-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,,7.4
0x2715,06-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.9
0x33eb,06-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.2
0x2716,07-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,4.6
0x33ec,07-01-2017,WH_0x3ea,,-105.18306,Type_A,2017,January,Yes,No,5.4
0x2717,08-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,4.5
0x33ed,08-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,6.5
0x2718,09-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,4.8
0x33ee,09-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,6.5
0x2719,10-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,4.9
0x33ef,10-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.2
0x271a,11-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,6.4
0x33f0,11-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,6.9
0x271b,12-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.3
0x33f1,12-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,8.1
0x271c,13-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.8
0x33f2,13-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,8.1
0x271d,14-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,5.7
0x33f3,14-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,6.2
0x271e,15-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,4.6
0x33f4,15-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,6.7
0x271f,16-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.4
0x33f5,16-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.2
0x2720,17-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.2
0x33f6,17-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.2
0x2721,18-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.1
0x33f7,18-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.6
0x2722,19-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.1
0x33f8,19-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.6
0x2723,20-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.7
0x33f9,20-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,6.5
0x2724,21-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,4.1
0x33fa,21-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,5.9
0x2725,22-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,4.4
0x33fb,22-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,6.3
0x2726,23-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5
0x33fc,23-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.3
0x2727,24-01-2017,WH_0x3e9,,-72.794746,Type_A,2017,January,No,No,5.6
0x33fd,24-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.6
0x2728,25-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,6.2
0x33fe,25-01-2017,WH_0x3ea,38.749077,,Type_A,2017,January,No,No,7.3
0x2729,26-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.2
0x33ff,26-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,7.9
0x272a,27-01-2017,WH_0x3e9,41.681471,,Type_A,2017,January,No,No,6.3
0x3400,27-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,8.5
0x272b,28-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,4.2
0x3401,28-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,,No,5.9
0x272c,29-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,Yes,No,5.4
0x3402,29-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,Yes,No,7.5
0x272d,30-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,4.8
0x3403,30-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,6.4
0x272e,31-01-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,January,No,No,5.6
0x3404,31-01-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,January,No,No,6.2
0x272f,01-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,No,No,6.4
0x3405,01-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,No,No,8.6
0x2730,02-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,No,No,5.1
0x3406,02-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,No,No,8.4
0x2731,03-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,No,No,5.5
0x3407,03-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,No,No,7.5
0x2732,04-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,Yes,No,5.7
0x3408,04-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,Yes,No,5
0x2733,05-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,Yes,No,4.1
0x3409,05-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,Yes,No,6.8
0x2734,06-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,No,No,6.2
0x340a,06-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,No,No,5.5
0x2735,07-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,No,No,6.7
0x340b,07-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,No,No,8.1
0x2736,08-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,No,No,5.2
0x340c,08-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,No,No,7.3
0x2737,09-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,No,No,6.6
0x340d,09-02-2017,WH_0x3ea,,,Type_A,2017,February,No,No,8.1
0x2738,10-02-2017,WH_0x3e9,,-72.794746,Type_A,2017,February,No,No,5.5
0x340e,10-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,No,No,7.5
0x2739,11-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,Yes,No,4.1
0x340f,11-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,Yes,No,6
0x273a,12-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,Yes,No,5.4
0x3410,12-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,Yes,No,6.7
0x273b,13-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,No,No,6.1
0x3411,13-02-2017,WH_0x3ea,,-105.18306,Type_A,2017,February,No,,6.9
0x273c,14-02-2017,WH_0x3e9,41.681471,-72.794746,Type_A,2017,February,No,No,5
0x3412,14-02-2017,WH_0x3ea,38.749077,-105.18306,Type_A,2017,February,No,No,7.5
